Word,Frequency
twitter,439
billymk,211
holemarsblog,206
tesla,200
good,195
true,174
people,165
great,158
exactly,145
teslaownerssv,124
cbdoge,123
spacex,123
yeah,122
much,116
many,116
would,112
davidsacks,109
time,108
one,104
interesting,91
stillgray,91
thats,86
allstreetsilv,86
right,81
even,79
work,79
still,77
real,77
make,75
actually,74
maybe,73
evafoxu,73
lot,72
coming,72
sawyermerritt,70
far,69
accurate,69
team,68
absolutely,67
day,66
major,66
next,65
rainmaker,65
think,63
media,63
also,62
starlink,62
ai,62
better,61
week,61
way,61
platform,61
tweets,58
new,57
times,57
almost,57
soon,56
jason,55
alx,55
world,54
youre,54
long,54
muskuniversity,54
year,52
lol,52
account,52
kanekoathegreat,52
micsolana,51
high,50
question,50
know,50
cool,50
accounts,50
back,49
really,49
launch,49
best,48
starship,48
probably,48
public,48
every,47
need,47
use,46
working,46
years,46
thread,46
video,46
super,45
future,45
see,45
communitynotes,45
ggreenwald,44
verified,44
therabbithole,44
titterdaily,44
important,43
go,43
point,43
trungtphan,43
please,42
